,0
0,1
1,0
2,0
3,128
4,128
5,128
6,128
7,129
8,129
9,130
10,130
11,129
12,129
13,130
14,130
15,130
16,130
17,131
18,132
19,133
20,132
21,132
22,135
23,140
24,146
25,155
26,161
27,173
28,189
29,195
30,187
31,1
32,49
33,35
34,2
35,44
36,68
37,76
38,73
39,56
40,9
41,40
42,65
43,66
44,53
45,18
46,128
47,46
48,62
49,63
50,42
51,167
52,181
53,182
54,182
55,189
56,198
57,206
58,209
59,208
60,203
61,201
62,202
63,204
64,202
65,195
66,180
67,162
68,161
69,167
70,155
71,37
72,55
73,60
74,58
75,53
76,54
77,64
78,72
79,75
80,74
81,73
82,75
83,79
84,81
85,82
86,81
87,77
88,75
89,76
90,76
91,71
92,64
93,49
94,21
95,149
96,165
97,184
98,197
99,205
100,208
101,208
102,209
103,210
104,212
105,213
106,213
107,210
108,208
109,209
110,210
111,207
112,196
113,180
114,168
115,154
116,36
117,62
118,74
119,81
120,82
121,83
122,86
123,88
124,89
125,87
126,84
127,80
128,75
129,68
130,57
131,25
132,177
133,193
134,201
135,207
136,209
137,211
138,214
139,217
140,217
141,217
142,216
143,214
144,213
145,212
146,208
147,202
148,195
149,186
150,163
151,39
152,59
153,68
154,76
155,81
156,83
157,85
158,86
159,89
160,90
161,91
162,91
163,90
164,90
165,89
166,86
167,83
168,80
169,74
170,68
171,55
172,23
173,174
174,189
175,197
176,203
177,208
178,211
179,213
180,214
181,215
182,216
183,215
184,214
185,213
186,211
187,208
188,204
189,197
190,189
191,176
192,142
193,45
194,61
195,68
196,72
197,77
198,80
199,82
200,83
201,83
202,82
203,81
204,80
205,76
206,70
207,63
208,50
209,24
210,164
211,182
212,192
213,197
214,201
215,204
216,207
217,208
218,208
219,208
220,208
221,206
222,204
223,201
224,197
225,192
226,185
227,176
228,156
229,27
230,48
231,57
232,64
233,67
234,68
235,69
236,72
237,75
238,75
239,74
240,73
241,73
242,74
243,74
244,72
245,69
246,66
247,65
248,64
249,57
250,49
251,34
252,137
253,167
254,178
255,185
256,192
257,197
258,201
259,204
260,206
261,207
262,208
263,208
264,209
265,208
266,206
267,202
268,200
269,198
270,195
271,189
272,177
273,156
274,14
275,37
276,52
277,61
278,67
279,70
280,73
281,74
282,75
283,77
284,77
285,76
286,73
287,70
288,66
289,62
290,54
291,41
292,134
293,171
294,183
295,189
296,193
297,197
298,200
299,202
300,202
301,202
302,201
303,200
304,199
305,196
306,192
307,184
308,177
309,163
310,4
311,40
312,53
313,61
314,66
315,67
316,68
317,69
318,71
319,74
320,75
321,73
322,72
323,73
324,75
325,76
326,76
327,74
328,73
329,73
330,73
331,72
332,68
333,65
334,58
335,50
336,37
337,0
338,169
339,185
340,195
341,199
342,203
343,206
344,209
345,211
346,212
347,213
348,212
349,211
350,211
351,210
352,209
353,206
354,201
355,195
356,187
357,178
358,162
359,23
360,51
361,63
362,68
363,72
364,75
365,79
366,81
367,82
368,82
369,81
370,80
371,76
372,72
373,67
374,56
375,33
376,162
377,180
378,188
379,194
380,199
381,203
382,206
383,207
384,207
385,207
386,206
387,205
388,202
389,198
390,194
391,188
392,180
393,165
394,16
395,45
396,56
397,64
398,66
399,67
400,69
401,72
402,75
403,76
404,74
405,74
406,75
407,77
408,78
409,77
410,75
411,74
412,74
413,73
414,71
415,68
416,64
417,56
418,46
419,28
420,146
421,173
422,187
423,195
424,200
425,203
426,206
427,208
428,210
429,212
430,212
431,212
432,211
433,210
434,209
435,207
436,202
437,197
438,192
439,185
440,173
441,135
442,39
443,52
444,61
445,68
446,72
447,76
448,78
449,80
450,81
451,81
452,81
453,80
454,76
455,73
456,68
457,61
458,47
459,3
460,169
461,182
462,192
463,196
464,200
465,202
466,204
467,205
468,206
469,205
470,204
471,202
472,199
473,195
474,191
475,183
476,174
477,157
478,20
479,47
480,58
481,63
482,63
483,64
484,68
485,72
486,74
487,73
488,72
489,73
490,76
491,77
492,77
493,76
494,74
495,74
496,73
497,71
498,68
499,65
500,58
501,46
502,21
503,151
504,170
505,183
506,194
507,200
508,204
509,206
510,208
511,209
512,211
513,212
514,212
515,211
516,210
517,209
518,207
519,204
520,199
521,195
522,187
523,176
524,152
525,25
526,44
527,56
528,65
529,69
530,72
531,75
532,77
533,79
534,80
535,80
536,79
537,77
538,74
539,71
540,68
541,62
542,51
543,28
544,159
545,177
546,186
547,192
548,196
549,200
550,202
551,203
552,204
553,203
554,203
555,201
556,199
557,196
558,193
559,186
560,179
561,168
562,144
563,29
564,43
565,50
566,57
567,64
568,67
569,69
570,71
571,73
572,75
573,78
574,79
575,80
576,79
577,79
578,78
579,77
580,74
581,71
582,67
583,62
584,52
585,38
586,0
587,167
588,181
589,191
590,196
591,200
592,203
593,206
594,208
595,209
596,209
597,209
598,209
599,208
600,207
601,205
602,202
603,199
604,195
605,192
606,184
607,176
608,161
609,7
610,37
611,49
612,56
613,61
614,65
615,67
616,69
617,71
618,72
619,72
620,72
621,72
622,71
623,69
624,67
625,64
626,57
627,50
628,38
629,15
630,155
631,170
632,178
633,182
634,185
635,188
636,189
637,189
638,188
639,187
640,186
641,184
642,181
643,178
644,174
645,168
646,162
647,151
648,131
649,20
650,32
651,35
652,38
653,41
654,44
655,47
656,48
657,48
658,48
659,49
660,49
661,49
662,49
663,48
664,48
665,48
666,49
667,50
668,51
669,52
670,53
671,54
672,54
673,53
674,51
675,48
676,43
677,36
678,24
679,131
680,155
681,166
682,175
683,179
684,183
685,187
686,190
687,192
688,194
689,195
690,196
691,197
692,197
693,197
694,197
695,196
696,195
697,194
698,192
699,188
700,182
701,176
702,164
703,141
704,29
705,44
706,52
707,59
708,64
709,66
710,68
711,69
712,69
713,69
714,69
715,68
716,67
717,65
718,63
719,58
720,54
721,49
722,39
723,23
724,145
725,164
726,176
727,182
728,187
729,191
730,193
731,195
732,196
733,196
734,196
735,195
736,193
737,189
738,183
739,176
740,157
741,21
742,43
743,53
744,60
745,66
746,69
747,72
748,74
749,76
750,77
751,78
752,77
753,76
754,75
755,72
756,69
757,66
758,60
759,52
760,40
761,16
762,161
763,176
764,184
765,190
766,194
767,196
768,199
769,201
770,202
771,204
772,204
773,205
774,205
775,205
776,205
777,204
778,203
779,201
780,199
781,196
782,193
783,188
784,181
785,169
786,144
787,33
788,48
789,56
790,63
791,67
792,69
793,71
794,72
795,73
796,73
797,73
798,72
799,71
800,69
801,67
802,65
803,61
804,55
805,48
806,33
807,138
808,166
809,178
810,185
811,192
812,194
813,196
814,197
815,197
816,196
817,194
818,192
819,185
820,177
821,162
822,7
823,38
824,51
825,59
826,65
827,68
828,70
829,72
830,74
831,74
832,74
833,73
834,71
835,69
836,66
837,63
838,56
839,49
840,35
841,130
842,163
843,177
844,184
845,191
846,194
847,197
848,199
849,200
850,201
851,202
852,202
853,202
854,201
855,201
856,200
857,199
858,199
859,197
860,196
861,194
862,192
863,187
864,181
865,172
866,154
867,18
868,38
869,50
870,57
871,64
872,67
873,69
874,71
875,72
876,73
877,74
878,73
879,72
880,71
881,69
882,66
883,63
884,56
885,49
886,37
887,5
888,162
889,177
890,183
891,189
892,193
893,194
894,195
895,195
896,194
897,192
898,187
899,181
900,172
901,151
902,26
903,45
904,54
905,61
906,66
907,69
908,71
909,72
910,73
911,72
912,72
913,70
914,68
915,65
916,61
917,54
918,47
919,33
920,135
921,164
922,177
923,183
924,189
925,193
926,196
927,197
928,199
929,200
930,200
931,200
932,200
933,199
934,199
935,198
936,197
937,196
938,194
939,193
940,192
941,188
942,183
943,179
944,172
945,162
946,137
947,28
948,42
949,50
950,56
951,61
952,65
953,67
954,68
955,69
956,69
957,69
958,68
959,67
960,65
961,63
962,57
963,51
964,41
965,23
966,146
967,164
968,175
969,180
970,183
971,185
972,185
973,184
974,183
975,180
976,176
977,165
978,146
979,23
980,40
981,50
982,56
983,62
984,65
985,67
986,68
987,68
988,68
989,68
990,67
991,65
992,62
993,57
994,51
995,43
996,30
997,134
998,162
999,173
1000,180
1001,185
1002,189
1003,192
1004,194
1005,195
1006,195
1007,196
1008,196
1009,196
1010,195
1011,195
1012,194
1013,193
1014,192
1015,191
1016,189
1017,186
1018,183
1019,180
1020,177
1021,171
1022,164
1023,153
1024,130
1025,22
1026,34
1027,41
1028,48
1029,51
1030,54
1031,56
1032,58
1033,58
1034,58
1035,57
1036,56
1037,53
1038,51
1039,48
1040,42
1041,37
1042,32
1043,22
1044,10
1045,131
1046,140
1047,145
1048,145
1049,144
1050,136
1051,3
1052,18
1053,28
1054,36
1055,41
1056,47
1057,50
1058,52
1059,54
1060,56
1061,57
1062,57
1063,56
1064,55
1065,53
1066,51
1067,48
1068,41
1069,34
1070,20
1071,134
1072,155
1073,165
1074,172
1075,177
1076,179
1077,181
1078,183
1079,183
1080,184
1081,183
1082,183
1083,183
1084,182
1085,181
1086,180
1087,179
1088,177
1089,176
1090,175
1091,174
1092,172
1093,171
1094,171
1095,170
1096,170
1097,169
1098,168
1099,166
1100,164
1101,163
1102,160
1103,156
1104,150
1105,143
1106,129
1107,13
1108,22
1109,29
1110,33
1111,36
1112,38
1113,40
1114,42
1115,45
1116,48
1117,49
1118,50
1119,51
1120,52
1121,53
1122,53
1123,53
1124,53
1125,52
1126,51
1127,49
1128,48
1129,44
1130,40
1131,36
1132,32
1133,26
1134,19
1135,8
1136,132
1137,143
1138,147
1139,150
1140,151
1141,153
1142,155
1143,156
1144,156
1145,156
1146,155
1147,154
1148,154
1149,154
1150,154
1151,153
1152,152
1153,152
1154,153
1155,155
1156,157
1157,159
1158,160
1159,161
1160,163
1161,164
1162,165
1163,166
1164,166
1165,167
1166,167
1167,166
1168,166
1169,165
1170,163
1171,162
1172,160
1173,157
1174,153
1175,148
1176,144
1177,136
1178,128
1179,6
1180,13
1181,18
1182,21
1183,24
1184,25
1185,27
1186,28
1187,30
1188,31
1189,32
1190,31
1191,31
1192,31
1193,31
1194,31
1195,30
1196,29
1197,28
1198,27
1199,27
1200,26
1201,24
1202,23
1203,22
1204,20
1205,20
1206,18
1207,17
1208,15
1209,12
1210,10
1211,7
1212,4
1213,1
1214,129
1215,131
1216,133
1217,135
1218,137
1219,139
1220,141
1221,141
1222,142
1223,143
1224,143
1225,143
1226,144
1227,144
1228,144
1229,144
1230,144
